use,split,id,label,code,review,oof_wrong,oof_n,prob_S_mean,prob_S_std
1,thumb,009_L_01,P,PP,불일치,1,3,0.236,0.196
1,thumb,012_R_01,S,SC,불일치,2,3,0.204,0.240
1,thumb,013_R_01,S,SB,불일치,2,3,0.281,0.266
1,thumb,015_R_01,S,SS,불일치,1,3,0.495,0.204
1,thumb,019_L_01,S,SC,불일치,1,3,0.536,0.099
1,thumb,025_L_01,S,SS,불일치,2,3,0.246,0.207
1,thumb,026_L_01,S,SC,불일치,1,3,0.527,0.212
1,thumb,035_L_01,S,SC,불일치,1,3,0.805,0.227
1,thumb,036_L_01,P,PP,불일치,2,3,0.537,0.166
1,thumb,036_R_01,P,PP,불일치,1,3,0.351,0.237
1,thumb,038_R_01,P,PC,불일치,2,3,0.677,0.160
1,other,001_L_03,S,SC,,0,3,0.999,0.000
1,other,001_L_04,S,SC,,0,3,1.000,0.000
1,other,001_R_03,S,SC,,0,3,0.978,0.014
1,other,001_R_04,S,SC,,0,3,0.998,0.002
1,other,001_R_05,S,SC,,0,3,1.000,0.000
1,other,002_L_02,P,PCB,,3,3,0.671,0.039
1,other,002_L_04,S,SS,,0,3,0.980,0.021
1,other,002_L_05,S,SS,,0,3,0.796,0.098
1,other,003_L_02,P,PP,,0,3,0.007,0.006
1,other,003_R_02,P,PB,,0,3,0.019,0.020
1,other,003_R_03,P,PC,,0,3,0.060,0.071
1,other,003_R_05,P,PC,,0,3,0.001,0.001
1,other,004_L_02,S,SS,,0,3,0.825,0.086
1,other,004_L_03,P,PC,,,,,
1,other,004_L_04,S,SC,,,,,
1,other,004_R_02,S,SS,,3,3,0.262,0.168
1,other,004_R_04,S,SC,,,,,
1,other,005_L_02,P,PB,,0,3,0.052,0.062
1,other,005_L_03,P,PC,,0,3,0.001,0.002
1,other,005_L_04,P,PC,,0,3,0.032,0.043
1,other,005_L_05,P,PC,,0,3,0.090,0.107
1,other,005_R_02,P,PP,,0,3,0.007,0.009
1,other,005_R_03,P,PC,,0,3,0.069,0.037
1,other,005_R_04,P,PC,,0,3,0.005,0.003
1,other,005_R_05,P,PC,,0,3,0.217,0.152
1,other,006_L_02,P,PP,,0,3,0.055,0.064
1,other,006_L_03,P,PC,,0,3,0.092,0.058
1,other,006_L_04,P,PC,,0,3,0.022,0.008
1,other,006_L_05,P,PC,,,,,
1,other,006_R_02,P,PP,,0,3,0.021,0.027
1,other,006_R_03,P,PC,,0,3,0.002,0.003
1,other,006_R_04,P,PC,,,,,
1,other,006_R_05,P,PC,,0,3,0.000,0.000
1,other,007_L_02,P,PP,,,,,
1,other,007_L_03,S,SC,,0,3,0.861,0.163
1,other,007_L_04,S,SC,,0,3,0.998,0.001
1,other,007_R_04,S,SC,,0,3,1.000,0.000
1,other,007_R_05,S,SC,,0,3,0.998,0.001
1,other,008_L_02,P,PB,,0,3,0.013,0.018
1,other,008_L_03,P,PP,,,,,
1,other,008_L_05,P,PP,,0,3,0.014,0.013
1,other,008_R_02,P,PB,,0,3,0.001,0.001
1,other,008_R_03,P,PP,,0,3,0.009,0.007
1,other,008_R_04,P,PP,,0,3,0.026,0.026
1,other,008_R_05,P,PC,,0,3,0.001,0.001
1,other,009_L_02,P,PP,,0,3,0.009,0.009
1,other,009_L_03,P,PC,,0,3,0.037,0.045
1,other,009_L_04,P,PC,,0,3,0.022,0.025
1,other,009_L_05,P,PC,,,,,
1,other,009_R_02,P,PP,,,,,
1,other,009_R_03,P,PC,,0,3,0.000,0.000
1,other,009_R_04,P,PC,,0,3,0.000,0.000
1,other,009_R_05,P,PC,,0,3,0.003,0.004
1,other,010_L_02,S,SS,,0,3,0.989,0.010
1,other,010_L_04,S,SC,,0,3,0.999,0.001
1,other,010_L_05,S,SS,,0,3,0.995,0.006
1,other,010_R_02,S,SS,,,,,
1,other,010_R_03,S,SS,,,,,
1,other,010_R_04,S,SS,,0,3,0.997,0.004
1,other,010_R_05,S,SS,,0,3,0.944,0.078
1,other,011_L_02,P,PB,,,,,
1,other,011_L_03,P,PP,,0,3,0.244,0.124
1,other,011_L_04,P,PP,,0,3,0.029,0.015
1,other,011_L_05,P,PP,,0,3,0.294,0.166
1,other,011_R_03,P,PB,,0,3,0.012,0.016
1,other,011_R_04,P,PP,,,,,
1,other,011_R_05,P,PP,,0,3,0.007,0.008
1,other,012_L_02,P,PP,,,,,
1,other,012_L_04,P,PC,,0,3,0.111,0.080
1,other,012_L_05,P,PC,,0,3,0.029,0.030
1,other,012_R_04,P,PC,,0,3,0.047,0.036
1,other,013_L_02,S,SB,,,,,
1,other,013_L_03,S,SS,,0,3,0.917,0.104
1,other,013_R_03,S,SS,,0,3,0.999,0.001
1,other,013_R_04,S,SS,,,,,
1,other,014_L_02,S,SB,,,,,
1,other,014_L_03,S,SS,,,,,
1,other,014_L_04,S,SS,,0,3,0.987,0.010
1,other,014_R_02,S,SB,,0,3,0.845,0.151
1,other,014_R_03,S,SS,,0,3,0.994,0.009
1,other,014_R_04,S,SS,,,,,
1,other,014_R_05,S,SS,,0,3,0.638,0.124
1,other,015_L_02,P,PB,,,,,
1,other,015_L_04,P,PP,,0,3,0.014,0.013
1,other,015_R_04,P,PB,,0,3,0.012,0.008
1,other,015_R_05,P,PB,,0,3,0.072,0.046
1,other,016_L_03,S,SS,,0,3,0.640,0.061
1,other,016_L_05,P,PP,,,,,
1,other,016_R_02,P,PB,,3,3,0.704,0.103
1,other,016_R_03,S,SS,,0,3,0.990,0.008
1,other,016_R_04,S,SS,,0,3,0.918,0.080
1,other,017_L_03,S,SS,,0,3,0.874,0.070
1,other,017_L_04,P,PC,,0,3,0.296,0.137
1,other,017_L_05,P,PB,,0,3,0.028,0.013
1,other,017_R_05,P,PB,,,,,
1,other,018_R_05,S,SC,,0,3,0.893,0.139
1,other,019_L_05,P,PP,,,,,
1,other,019_R_02,P,PP,,0,3,0.005,0.006
1,other,019_R_03,P,PP,,0,3,0.210,0.167
1,other,019_R_05,P,PP,,,,,
1,other,020_L_02,P,PP,,0,3,0.080,0.108
1,other,020_L_04,P,PC,,0,3,0.178,0.076
1,other,020_L_05,P,PB,,0,3,0.009,0.011
1,other,020_R_02,P,PB,,,,,
1,other,020_R_03,P,PP,,,,,
1,other,020_R_04,P,PC,,0,3,0.015,0.009
1,other,020_R_05,P,PC,,0,3,0.049,0.035
1,other,021_L_02,P,PCB,,,,,
1,other,021_L_03,P,PCB,,0,3,0.000,0.000
1,other,021_L_04,P,PC,,0,3,0.002,0.001
1,other,021_L_05,P,PCB,,,,,
1,other,021_R_02,P,PCB,,0,3,0.007,0.003
1,other,021_R_03,P,PC,,0,3,0.000,0.000
1,other,021_R_04,P,PC,,0,3,0.010,0.010
1,other,021_R_05,P,PCB,,0,3,0.004,0.004
1,other,022_R_03,S,SB,,,,,
1,other,023_L_02,P,PB,,0,3,0.225,0.164
1,other,023_L_03,S,SS,,,,,
1,other,023_R_02,P,PB,,0,3,0.014,0.008
1,other,023_R_05,P,PP,,,,,
1,other,024_L_05,S,SC,,0,3,0.600,0.104
1,other,025_L_03,S,SS,,0,3,0.985,0.020
1,other,025_L_04,S,SS,,,,,
1,other,025_L_05,S,SS,,,,,
1,other,025_R_02,P,PB,,0,3,0.256,0.170
1,other,025_R_04,S,SS,,0,3,0.991,0.006
1,other,025_R_05,S,SS,,0,3,0.997,0.002
1,other,026_L_02,P,PB,,0,3,0.000,0.000
1,other,026_L_03,S,SS,,,,,
1,other,026_L_05,P,PP,,,,,
1,other,026_R_05,P,PP,,,,,
1,other,027_L_02,S,SC,,0,3,0.985,0.016
1,other,027_L_03,S,SC,,0,3,0.991,0.004
1,other,027_L_04,S,SC,,0,3,0.997,0.002
1,other,027_L_05,S,SS,,0,3,0.999,0.001
1,other,027_R_02,S,SC,,,,,
1,other,027_R_04,S,SS,,,,,
1,other,027_R_05,S,SS,,,,,
1,other,029_L_02,P,PB,,,,,
1,other,029_L_03,S,SB,,,,,
1,other,029_L_04,P,PB,,,,,
1,other,029_L_05,P,PB,,,,,
1,other,029_R_02,P,PB,,0,3,0.017,0.010
1,other,029_R_03,P,PB,,0,3,0.044,0.050
1,other,029_R_04,P,PC,,0,3,0.144,0.076
1,other,029_R_05,P,PB,,0,3,0.038,0.044
1,other,030_L_05,S,SC,,,,,
1,other,030_R_03,S,SC,,,,,
1,other,031_L_02,S,SB,,,,,
1,other,031_L_03,S,SC,,,,,
1,other,031_L_04,S,SS,,0,3,0.702,0.156
1,other,031_L_05,P,PP,,0,3,0.292,0.067
1,other,031_R_02,S,SS,,,,,
1,other,031_R_03,S,SS,,,,,
1,other,031_R_05,S,SC,,0,3,0.961,0.030
1,other,032_L_02,P,PB,,0,3,0.089,0.122
1,other,032_L_03,P,PC,,0,3,0.243,0.173
1,other,032_L_04,P,PC,,,,,
1,other,032_R_03,P,PC,,0,3,0.046,0.032
1,other,032_R_04,P,PC,,0,3,0.133,0.100
1,other,032_R_05,P,PB,,0,3,0.174,0.093
1,other,033_L_02,P,PB,,0,3,0.004,0.003
1,other,033_L_03,P,PP,,0,3,0.193,0.119
1,other,033_L_04,P,PCB,,0,3,0.015,0.012
1,other,033_L_05,P,PP,,0,3,0.001,0.000
1,other,033_R_02,P,PB,,0,3,0.001,0.002
1,other,033_R_03,P,PCB,,0,3,0.010,0.008
1,other,033_R_04,P,PCB,,0,3,0.002,0.002
1,other,033_R_05,P,PB,,0,3,0.010,0.006
1,other,034_L_02,P,PP,,0,3,0.126,0.125
1,other,034_L_05,P,PP,,0,3,0.075,0.092
1,other,034_R_04,P,PP,,,,,
1,other,035_L_04,S,SC,,0,3,0.971,0.021
1,other,035_R_02,S,SS,,,,,
1,other,035_R_03,S,SS,,0,3,0.990,0.011
1,other,035_R_04,S,SC,,0,3,0.994,0.005
1,other,035_R_05,S,SS,,0,3,0.979,0.023
1,other,036_L_02,S,SS,,0,3,0.954,0.060
1,other,036_L_03,S,SC,,0,3,0.808,0.113
1,other,036_L_04,S,SC,,0,3,0.997,0.002
1,other,036_L_05,S,SC,,0,3,0.981,0.004
1,other,036_R_02,P,PP,,,,,
1,other,036_R_03,S,SS,,0,3,0.999,0.000
1,other,036_R_04,S,SC,,0,3,0.999,0.001
1,other,037_L_02,P,PB,,,,,
1,other,037_R_02,P,PB,,0,3,0.091,0.036
1,other,037_R_05,P,PP,,0,3,0.099,0.070
1,other,039_L_02,S,SS,,,,,
1,other,039_R_02,S,SS,,0,3,0.653,0.078
1,other,041_L_03,P,PCB,,,,,
1,other,041_L_04,P,PC,,0,3,0.097,0.094
1,other,041_L_05,P,PP,,0,3,0.195,0.132
1,other,041_R_02,P,PB,,0,3,0.220,0.132
1,other,041_R_03,P,PCB,,,,,
1,other,041_R_05,P,PP,,,,,
1,other,042_L_02,S,SS,,0,3,0.991,0.012
1,other,042_L_03,S,SS,,0,3,0.998,0.001
1,other,042_L_04,S,SS,,0,3,0.999,0.001
1,other,042_L_05,S,SS,,0,3,0.907,0.051
1,other,042_R_03,S,SS,,0,3,0.954,0.043
1,other,042_R_05,S,SS,,0,3,0.989,0.007
1,thumb,002_L_01,S,SCB,,0,3,0.760,0.152
1,thumb,002_R_01,S,SCB,,0,3,0.921,0.090
1,thumb,003_R_01,P,PP,,3,3,0.725,0.184
1,thumb,004_R_01,S,SC,,,,,
1,thumb,006_L_01,P,PP,,0,3,0.066,0.061
1,thumb,006_R_01,S,SS,,,,,
1,thumb,007_R_01,P,PC,,0,3,0.012,0.003
1,thumb,008_L_01,P,PP,,,,,
1,thumb,008_R_01,P,PP,,3,3,0.590,0.055
1,thumb,009_R_01,P,PP,,0,3,0.135,0.092
1,thumb,010_L_01,S,SC,,0,3,0.999,0.001
1,thumb,010_R_01,S,SC,,0,3,0.998,0.002
1,thumb,011_R_01,S,SS,,,,,
1,thumb,012_L_01,S,SC,,3,3,0.289,0.208
1,thumb,014_L_01,S,SS,,0,3,0.875,0.034
1,thumb,014_R_01,S,SS,,0,3,0.989,0.004
1,thumb,016_L_01,P,PC,,,,,
1,thumb,016_R_01,P,PC,,,,,
1,thumb,017_L_01,P,PP,,,,,
1,thumb,020_L_01,S,SB,,,,,
1,thumb,020_R_01,S,SB,,,,,
1,thumb,021_L_01,P,PCB,,0,3,0.042,0.033
1,thumb,021_R_01,P,PCB,,0,3,0.068,0.055
1,thumb,022_L_01,P,PP,,0,3,0.016,0.010
1,thumb,022_R_01,P,PP,,0,3,0.058,0.058
1,thumb,023_L_01,S,SCB,,0,3,0.778,0.155
1,thumb,023_R_01,S,SCB,,,,,
1,thumb,026_R_01,S,SC,,0,3,0.979,0.006
1,thumb,029_L_01,P,PP,,0,3,0.165,0.079
1,thumb,030_L_01,P,PP,,0,3,0.001,0.001
1,thumb,032_L_01,P,PC,,0,3,0.004,0.005
1,thumb,032_R_01,P,PC,,0,3,0.019,0.023
1,thumb,033_L_01,P,PP,,0,3,0.162,0.013
1,thumb,033_R_01,P,PP,,0,3,0.044,0.030
1,thumb,034_L_01,P,PP,,0,3,0.023,0.024
1,thumb,034_R_01,P,PP,,0,3,0.166,0.101
1,thumb,035_R_01,P,PC,,,,,
1,thumb,037_L_01,P,PP,,,,,
1,thumb,037_R_01,P,PP,,,,,
1,thumb,038_L_01,P,PP,,,,,
1,thumb,041_L_01,P,PP,,0,3,0.005,0.006
1,thumb,041_R_01,P,PP,,0,3,0.210,0.023
